date,ticker,return,year,name,esg,e,s,g,sector,industry
2020-02-29,A,-0.0664972071119128,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-03-31,A,-0.0707150856588602,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-04-30,A,0.0730953007913688,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-05-31,A,0.1497524939247569,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-06-30,A,0.0026096590829405,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-07-31,A,0.0923646380304725,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-08-31,A,0.0424581363278169,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-09-30,A,0.0051782562059625,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-10-31,A,0.0113927455801634,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-11-30,A,0.147133063487673,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2020-12-31,A,0.013601209092392,2020,AGILENT TECHS.,38.06,84.83,55.44,77.37,Healthcare,Diagnostics & Research
2021-01-31,A,0.0141786296300638,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-02-28,A,0.017476756247202,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-03-31,A,0.0415334506286464,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-04-30,A,0.0511245613510975,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-05-31,A,0.035170471752673,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-06-30,A,0.0700792924661732,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-07-31,A,0.0366685631353738,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-08-31,A,0.1466467159341584,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-09-30,A,-0.1022400182852786,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-10-31,A,-0.0002536980000157,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-11-30,A,-0.0406511764176416,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
2021-12-31,A,0.0579855256181911,2021,AGILENT TECHS.,43.36,81.88,38.98,71.33,Healthcare,Diagnostics & Research
